variable,code,label,source_year
s440,7,Madre trabajaba/estudiaba,2024
s440,8,Niña(o) rehusó,2024
s440,9,Edad de destete,2024
s440,96,No sabe,2024
s441,0,No,2024
s441,1,Si,2024
s442,21,Hospital MINSA,2024
s442,22,Hospital ESSALUD,2024
s442,23,Hospital FFAA y PNP,2024
s442,24,Centro de salud MINSA,2024
s442,25,Puesto de salud MINSA,2024
s442,26,policlínico/Centro/Posta ESSALUD,2024
s442,27,Hospital/Otro de la Municipalidad,2024
s442,31,Clínica particular,2024
s442,32,Consultorio médico particular,2024
s442,33,Casa de partera,2024
s442,41,Clinica/Posta ONG,2024
s442,42,Hospital/Otro de la Iglesia,2024
s442,96,Otro,2024
s446a,0,No,2024
s446a,1,Si,2024
s446a,8,No sabe,2024
s446aa,0,Inmediatamente,2024
s446aa,100,Cero minutos,2024
s446aa,101,Un minuto,2024
s446aa,200,Cero horas,2024
s446aa,201,Una hora,2024
s446aa,998,No sabe,2024
s446ab,1,Refrigerador,2024
s446ab,2,Congelador,2024
s446ab,6,Otro,2024
s446ab,8,No sabe,2024
s447,0,No,2024
s447,1,Si,2024
s447,8,No sabe,2024
s448a,0,Inmediatamente,2024
s448a,100,Cero minutos,2024
s448a,101,Un minuto,2024
s448a,200,Cero horas,2024
s448a,201,Una hora,2024
s448a,998,No sabe,2024
s448b,1,Refrigerador,2024
s448b,2,Congelador,2024
s448b,6,Otro,2024
s448b,8,No sabe,2024
s459b,1,Al nacer,2024
s459b,2,Luego,2024
s45b0,0,No,2024
s45b0,1,Vacuna fecha en la tarjeta,2024
s45b0,2,Reportada por la madre,2024
s45b0,3,Vacuna marcado en la tarjeta,2024
s45b0,8,No sabe,2024
s45b0d,97,Inconsistente,2024
s45b0d,98,No sabe,2024
s45b0m,97,Inconsistente,2024
s45b0m,98,No sabe,2024
s45b0y,9997,Inconsistente,2024
s45b0y,9998,No sabe,2024
s45b1,0,No,2024
s45b1,1,Vacuna fecha en la tarjeta,2024
s45b1,2,Reportada por la madre,2024
s45b1,3,Vacuna marcado en la tarjeta,2024
s45b1,8,No sabe,2024
s45b1d,97,Inconsistente,2024
s45b1d,98,No sabe,2024
s45b1m,97,Inconsistente,2024
s45b1m,98,No sabe,2024
s45b1y,9997,Inconsistente,2024
s45b1y,9998,No sabe,2024
s45b2,0,No,2024
s45b2,1,Vacuna fecha en la tarjeta,2024
s45b2,2,Reportada por la madre,2024
s45b2,3,Vacuna marcado en la tarjeta,2024
s45b2,8,No sabe,2024
s45b2d,97,Inconsistente,2024
s45b2d,98,No sabe,2024
s45b2m,97,Inconsistente,2024
s45b2m,98,No sabe,2024
s45b2y,9997,Inconsistente,2024
s45b2y,9998,No sabe,2024
s45b3,0,No,2024
s45b3,1,Vacuna fecha en la tarjeta,2024
s45b3,2,Reportada por la madre,2024
s45b3,3,Vacuna marcado en la tarjeta,2024
s45b3,8,No sabe,2024
s45b3d,97,Inconsistente,2024
s45b3d,98,No sabe,2024
s45b3m,97,Inconsistente,2024
s45b3m,98,No sabe,2024
s45b3y,9997,Inconsistente,2024
s45b3y,9998,No sabe,2024
s45d4,0,No,2024
s45d4,1,Vacuna fecha en la tarjeta,2024
s45d4,2,Reportada por la madre,2024
s45d4,3,Vacuna marcado en la tarjeta,2024
s45d4,8,No sabe,2024
s45d4d,97,Inconsistente,2024
s45d4d,98,No sabe,2024
s45d4m,97,Inconsistente,2024
s45d4m,98,No sabe,2024
s45d4y,9997,Inconsistente,2024
s45d4y,9998,No sabe,2024
s45d5,0,No,2024
s45d5,1,Vacuna fecha en la tarjeta,2024
s45d5,2,Reportada por la madre,2024
s45d5,3,Vacuna marcado en la tarjeta,2024
s45d5,8,No sabe,2024
s45d5d,97,Inconsistente,2024
s45d5d,98,No sabe,2024
s45d5m,97,Inconsistente,2024
s45d5m,98,No sabe,2024
s45d5y,9997,Inconsistente,2024
s45d5y,9998,No sabe,2024
s45f1,0,No,2024
s45f1,1,Vacuna fecha en la tarjeta,2024
s45f1,2,Reportada por la madre,2024
s45f1,3,Vacuna marcado en la tarjeta,2024
s45f1,8,No sabe,2024
s45f1d,97,Inconsistente,2024
s45f1d,98,No sabe,2024
s45f1m,97,Inconsistente,2024
s45f1m,98,No sabe,2024
s45f1y,9997,Inconsistente,2024
s45f1y,9998,No sabe,2024
s45f2,0,No,2024
s45f2,1,Vacuna fecha en la tarjeta,2024
s45f2,2,Reportada por la madre,2024
s45f2,3,Vacuna marcado en la tarjeta,2024
s45f2,8,No sabe,2024
s45f2d,97,Inconsistente,2024
s45f2d,98,No sabe,2024
s45f2m,97,Inconsistente,2024
s45f2m,98,No sabe,2024
s45f2y,9997,Inconsistente,2024
s45f2y,9998,No sabe,2024
s45f3,0,No,2024
s45f3,1,Vacuna fecha en la tarjeta,2024
s45f3,2,Reportada por la madre,2024
s45f3,3,Vacuna marcado en la tarjeta,2024
s45f3,8,No sabe,2024
s45f3d,97,Inconsistente,2024
s45f3d,98,No sabe,2024
s45f3m,97,Inconsistente,2024
s45f3m,98,No sabe,2024
s45f3y,9997,Inconsistente,2024
s45f3y,9998,No sabe,2024
s45if1,0,No,2024
s45if1,1,Vacuna fecha en la tarjeta,2024
s45if1,2,Reportada por la madre,2024
s45if1,3,Vacuna marcado en la tarjeta,2024
s45if1,8,No sabe,2024
s45if1d,97,Inconsistente,2024
s45if1d,98,No sabe,2024
s45if1m,97,Inconsistente,2024
s45if1m,98,No sabe,2024
s45if1y,9997,Inconsistente,2024
s45if1y,9998,No sabe,2024
s45if2,0,No,2024
s45if2,1,Vacuna fecha en la tarjeta,2024
s45if2,2,Reportada por la madre,2024
s45if2,3,Vacuna marcado en la tarjeta,2024
s45if2,8,No sabe,2024
s45if2d,97,Inconsistente,2024
s45if2d,98,No sabe,2024
s45if2m,97,Inconsistente,2024
s45if2m,98,No sabe,2024
s45if2y,9997,Inconsistente,2024
s45if2y,9998,No sabe,2024
s45ml,0,No,2024
s45ml,1,Vacuna fecha en la tarjeta,2024
s45ml,2,Reportada por la madre,2024
s45ml,3,Vacuna marcado en la tarjeta,2024
s45ml,8,No sabe,2024
s45mld,97,Inconsistente,2024
s45mld,98,No sabe,2024
s45mlm,97,Inconsistente,2024
s45mlm,98,No sabe,2024
s45mly,9997,Inconsistente,2024
s45mly,9998,No sabe,2024
s45nm1,0,No,2024
s45nm1,1,Vacuna fecha en la tarjeta,2024
s45nm1,2,Reportada por la madre,2024
s45nm1,3,Vacuna marcado en la tarjeta,2024
s45nm1,8,No sabe,2024
s45nm1d,97,Inconsistente,2024
