variable,code,year,was,canonical
h36e,1,2013,Yes,Si
h36e,8,2013,DK,No sabe
h36f,1,2013,Yes,Si
h36f,8,2013,DK,No sabe
h37a,1,2013,Yes,Si
h37b,1,2013,Yes,Si
h37c,1,2013,Yes,Si
h37d,1,2013,Yes,Si
h37e,1,2013,Yes,Si
h37f,1,2013,Yes,Si
h37g,1,2013,Yes,Si
h37h,1,2013,Yes,Si
h37i,1,2013,Yes,Si
h37j,1,2013,Yes,Si
h37k,1,2013,Yes,Si
h37l,1,2013,Yes,Si
h37m,1,2013,Yes,Si
h37n,1,2013,Yes,Si
h37o,1,2013,Yes,Si
h37p,1,2013,Yes,Si
h37x,1,2013,Yes,Si
h37y,1,2013,"Yes, nothing taken",Si
h37z,1,2013,"Yes, DK",Si
h38,4,2013,About the same,Sobre lo mismo
h38,5,2013,More,Más
h38,2,2013,Much less,Mucho menos
h38,3,2013,Somewhat less,Algo menos
h38,0,2013,Nothing to drink,Nada para beber
h38,8,2013,Don't know,No sabe
h39,4,2013,About the same,La misma cantidad
h39,5,2013,More,Más
h39,1,2013,Never gave food,Nunca dio comida
h39,2,2013,Much less,Mucho menos
h39,3,2013,Somewhat less,Algo menos
h39,0,2013,Stopped food,Nada de comer
h39,8,2013,Don't know,No sabe
h3d,97,2013,Inconsistent,Inconsistente
h3d,98,2013,DK,No sabe
h3m,97,2013,Inconsistent,Inconsistente
h3m,98,2013,DK,No sabe
h3y,9997,2013,Inconsistent,Inconsistente
h3y,9998,2013,DK,No sabe
h4,1,2013,Vacc. date on card,Vacuna fecha en la tarjeta
h4,2,2013,Reported by mother,Reportado por la madre
h4,3,2013,Vacc. marked on card,Vacuna marcado en la tarjeta
h4,8,2013,DK,No sabe
h40,1,2013,Vacc. date on card,Vacc. fecha en la tarjeta
h40,2,2013,Reported by mother,Reportado por la madre
h40,3,2013,Vacc. marked on card,Vacc. marcado en la tarjeta
h40,8,2013,DK,No sabe
h40d,97,2013,Inconsistent,Inconsistente
h40d,98,2013,DK,No sabe
h40m,97,2013,Inconsistent,Inconsistente
h40m,98,2013,DK,No sabe
h40y,9997,2013,Inconsistent,Inconsistente
h40y,9998,2013,DK,No sabe
h41a,1,2013,Yes,Si
h41a,8,2013,Don't know,No sabe
h41b,1,2013,Yes,Si
h41b,8,2013,Don't know,No sabe
h42,1,2013,Yes,Si
