module,column,year,code,resolved,dta
28,estrato,2017,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
28,estrato,2017,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
28,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
28,estrato,2017,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
28,estrato,2018,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
28,estrato,2018,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
28,estrato,2018,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
28,estrato,2018,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
28,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
28,estrato,2018,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
28,estrato,2019,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
28,estrato,2019,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
28,estrato,2019,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
28,estrato,2019,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
28,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
28,estrato,2019,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
77,e23c,2016,3,Trimetral,trimestral
77,e23c,2017,3,Trimetral,trimestral
77,e23c,2018,3,Trimetral,trimestral
77,e23c,2019,3,Trimetral,trimestral
77,estrato,2016,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
77,estrato,2016,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
77,estrato,2016,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
77,estrato,2016,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
77,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
77,estrato,2016,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
77,estrato,2017,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
77,estrato,2017,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
77,estrato,2017,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
77,estrato,2017,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
77,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
77,estrato,2017,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
77,estrato,2018,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
77,estrato,2018,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
77,estrato,2018,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
77,estrato,2018,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
77,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
77,estrato,2018,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
77,estrato,2019,1,De 500 000 a más habitantes.,de 500 000 a más habitantes
77,estrato,2019,2,De 100 000 a 499 999 habitantes.,de 100 000 a 499 999 habitantes
77,estrato,2019,3,De 50 000 a 99 999 habitantes.,de 50 000 a 99 999 habitantes
77,estrato,2019,4,De 20 000 a 49 999 habitantes.,de 20 000 a 49 999 habitantes
77,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
77,estrato,2019,6,De 500 a 1 999 habitantes.,de 500 a 1 999 habitantes
78,estrato,2016,1,De 500 000 a más habitantes., de 500 000 a más habitantes
78,estrato,2016,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
78,estrato,2016,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
78,estrato,2016,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
78,estrato,2016,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
78,estrato,2016,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
78,estrato,2017,1,De 500 000 a más habitantes., de 500 000 a más habitantes
78,estrato,2017,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
78,estrato,2017,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
78,estrato,2017,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
78,estrato,2017,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
78,estrato,2017,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
78,estrato,2018,1,De 500 000 a más habitantes., de 500 000 a más habitantes
78,estrato,2018,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
78,estrato,2018,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
78,estrato,2018,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
78,estrato,2018,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
78,estrato,2018,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
78,estrato,2019,1,De 500 000 a más habitantes., de 500 000 a más habitantes
78,estrato,2019,2,De 100 000 a 499 999 habitantes., de 100 000 a 499 999 habitantes
78,estrato,2019,3,De 50 000 a 99 999 habitantes., de 50 000 a 99 999 habitantes
78,estrato,2019,4,De 20 000 a 49 999 habitantes., de 20 000 a 49 999 habitantes
78,estrato,2019,5,De 2 000 a 19 999 habitantes.,de 2 000 a 19 999 habitantes
78,estrato,2019,6,De 500 a 1 999 habitantes., de 500 a 1 999 habitantes
